-6.593416085203718247e-01 8.821509179248065990e-01 -1.017872973679315729e+00 2.026608140572570882e+00 -2.379375794469626548e+00 1.268508946862308306e+00 -1.103583740318748063e+00 1.729394327330034287e+00 -1.522901652431016384e+00 -1.679375264653776290e+00 -2.450952760821304643e+00 1.311447073389840234e+00 -1.876592505427791657e+00 -2.197999906819636529e+00 -6.592038466703113997e-01 -2.007314093305174740e+00
-9.838259068608210534e-01 5.787400769541829471e-01 -1.515649817263948984e+00 2.174262588840911725e+00 -2.733973007336270911e+00 8.344468444338969393e-01 -1.231264617060175759e+00 1.402731421380818189e+00 -1.708385009820729161e+00 -1.349104736517501957e+00 -2.449616790719675308e+00 4.160891614769330338e-01 -1.672344206031720626e+00 -2.133909433053987836e+00 -6.793047587782982122e-01 -1.506317183294190842e+00
-1.340849423765206883e+00 3.437715726664970495e-01 -1.999409284485287097e+00 2.227522308317940070e+00 -3.052546532854817585e+00 4.130259292191424958e-01 -1.376447338949054133e+00 1.089379720326321577e+00 -1.844662686334623380e+00 -9.838001984100603892e-01 -2.383838548785130129e+00 1.472477815860404049e-01 -1.511839000609119354e+00 -2.072537160414496871e+00 -7.693105296215494437e-01 -1.664152614150232079e+00
-1.716276375089123452e+00 1.934117590769933170e-01 -2.472669993749908368e+00 2.240540560342862086e+00 -3.341166587110569353e+00 3.634257140024778343e-03 -1.543678855637915959e+00 7.196315528901107150e-01 -1.868293621546824435e+00 -4.775803441361189394e-01 -2.341948879906932124e+00 -6.583706245407014955e-03 -1.370425936932212263e+00 -2.012976498231141775e+00 -9.289823269644540416e-01 -2.076101642776081224e+00
-2.041350292365967878e+00 1.812493881048132249e-01 -2.938797039208198569e+00 2.227796769050921277e+00 -3.602361096800589468e+00 -3.933994324929721564e-01 -1.795822614745910428e+00 2.250900037073201299e-01 -9.547828560914733975e-01 4.143278934340376973e-01 -2.311138902190479349e+00 -1.157009972654228919e-01 -1.237904385387202488e+00 -1.947925457327819743e+00 -2.005824621681267850e+00 -2.923943630229544066e+00
-2.047006837136794655e+00 -7.450696549729589682e-03 -3.399200781480796962e+00 2.195658911123293588e+00 -3.838070683147106532e+00 -7.766953817571801144e-01 -2.398591972889117407e+00 -8.725750552620918643e-02 -5.136039963251906038e-01 -2.111481545690801820e+00 -2.284136411985834947e+00 -2.017935211837863230e-01 -1.114883876756945780e+00 -1.876258881454940575e+00 -2.597026480282454308e+00 -3.837082430592199667e-01
-2.255402645445496734e+00 -4.289656299244275495e-01 -3.854493127710842515e+00 2.147925946676407793e+00 -4.049400668567553652e+00 -1.144528169158238295e+00 -2.828113064463073201e+00 -1.666582213834748027e-01 -1.402692175370875205e+00 -2.023681321731742866e+00 -2.260061994445733635e+00 -2.726686212347730343e-01 -9.955445487031685525e-01 -1.792582379592403630e+00 -1.851352046830649689e+00 -4.843098688298280163e-01
-2.579215026705221181e+00 -8.133855023771074944e-01 -4.305146158183631222e+00 2.087025881031657981e+00 -4.237669275825207471e+00 -1.494526777913903315e+00 -3.169918277006051444e+00 -2.878210756102852486e-01 -1.794332680134304914e+00 -1.813969958391575155e+00 -2.237670754257260253e+00 -3.336750826777463153e-01 -8.844579061415105414e-01 -1.699154357409115024e+00 -1.593189424817351263e+00 -7.264427929103114412e-01
-2.966565162463888683e+00 -1.156772854874617673e+00 -4.751437247884486403e+00 2.014714271723680561e+00 -4.404016394653204713e+00 -1.825017384886794769e+00 -3.474469164251681175e+00 -4.581129079118145264e-01 -2.060210841661171965e+00 -1.614336188942844474e+00 -2.216523352736134989e+00 -3.867912554634464484e-01 -7.750613541753368363e-01 -1.597408225628435652e+00 -1.457855216777782736e+00 -9.747065213540215822e-01
-3.402310929923489269e+00 -1.460484824556066652e+00 -5.193621727333996851e+00 1.932444061126261436e+00 -4.547603112047431395e+00 -2.133683666119958300e+00 -3.757491431481490896e+00 -6.799458474796897800e-01 -2.285183314788930886e+00 -1.415747845432317131e+00 -2.196716737117285767e+00 -4.332445294453142193e-01 -6.548414346716202594e-01 -1.478846678599498032e+00 -1.372909278772590058e+00 -1.245403137911618829e+00
